event_date,event_type,event_name,market,impact_dir,impact_score,d_minus_signal,source,notes
2026-01-16,MACRO_KR,한국은행 기준금리 결정 (1월),KR,RISK_OFF,-7,2,MANUAL_BOK,금통위 본회의 — 날짜 확정 후 수정 필요
2026-02-27,MACRO_KR,한국은행 기준금리 결정 (2월),KR,RISK_OFF,-7,2,MANUAL_BOK,금통위 본회의 — 날짜 확정 후 수정 필요
2026-04-17,MACRO_KR,한국은행 기준금리 결정 (4월),KR,RISK_OFF,-7,2,MANUAL_BOK,금통위 본회의 — 날짜 확정 후 수정 필요
2026-05-29,MACRO_KR,한국은행 기준금리 결정 (5월),KR,RISK_OFF,-7,2,MANUAL_BOK,금통위 본회의 — 날짜 확정 후 수정 필요
2026-07-17,MACRO_KR,한국은행 기준금리 결정 (7월),KR,RISK_OFF,-7,2,MANUAL_BOK,금통위 본회의 — 날짜 확정 후 수정 필요
2026-08-28,MACRO_KR,한국은행 기준금리 결정 (8월),KR,RISK_OFF,-7,2,MANUAL_BOK,금통위 본회의 — 날짜 확정 후 수정 필요
2026-10-16,MACRO_KR,한국은행 기준금리 결정 (10월),KR,RISK_OFF,-7,2,MANUAL_BOK,금통위 본회의 — 날짜 확정 후 수정 필요
2026-11-27,MACRO_KR,한국은행 기준금리 결정 (11월),KR,RISK_OFF,-7,2,MANUAL_BOK,금통위 본회의 — 날짜 확정 후 수정 필요
2026-01-01,HOLIDAY,신정 (휴장),KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-01-27,HOLIDAY,설날 연휴,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-01-28,HOLIDAY,설날,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-01-29,HOLIDAY,설날 연휴,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-03-01,HOLIDAY,삼일절,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-05-05,HOLIDAY,어린이날,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-05-25,HOLIDAY,석가탄신일,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-06-06,HOLIDAY,현충일,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-08-15,HOLIDAY,광복절,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-09-24,HOLIDAY,추석 연휴,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-09-25,HOLIDAY,추석,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-09-26,HOLIDAY,추석 연휴,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-10-03,HOLIDAY,개천절,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-10-09,HOLIDAY,한글날,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-12-25,HOLIDAY,성탄절,KR,NEUTRAL,0,0,MANUAL_KRX,KRX 휴장
2026-04-01,EARNINGS_KR,국내 1Q 실적시즌 시작,KR,RISK_ON,3,0,MANUAL_SEASON,대형주 어닝 집중 구간
2026-07-01,EARNINGS_KR,국내 2Q 실적시즌 시작,KR,RISK_ON,3,0,MANUAL_SEASON,대형주 어닝 집중 구간
2026-10-01,EARNINGS_KR,국내 3Q 실적시즌 시작,KR,RISK_ON,3,0,MANUAL_SEASON,대형주 어닝 집중 구간
2026-01-15,EARNINGS_US,미국 4Q25 실적시즌 시작,US,RISK_ON,3,0,MANUAL_SEASON,빅테크 어닝 시즌
2026-04-15,EARNINGS_US,미국 1Q26 실적시즌 시작,US,RISK_ON,3,0,MANUAL_SEASON,빅테크 어닝 시즌
2026-07-15,EARNINGS_US,미국 2Q26 실적시즌 시작,US,RISK_ON,3,0,MANUAL_SEASON,빅테크 어닝 시즌
2026-10-15,EARNINGS_US,미국 3Q26 실적시즌 시작,US,RISK_ON,3,0,MANUAL_SEASON,빅테크 어닝 시즌
