ticker,name,total_score,judge,tech_score,rsi,rsi_score,ma_align,ma_score,vol_ratio,vol_score,news_score,investor_score,theme_score,fetch_date,fetched_at
005320,온타이드,35,RESERVE_BUY,35,45.22,10,정배열,15,2.78,10,0,0,0,20260520,2026-05-20 15:50:24
223310,사토시홀딩스,35,RESERVE_BUY,35,45.03,10,정배열,15,2.34,10,0,0,0,20260520,2026-05-20 15:50:24
051390,YW,35,RESERVE_BUY,35,48.22,10,정배열,15,3.65,10,0,0,0,20260520,2026-05-20 15:50:24
264850,이랜시스,32,RESERVE_BUY,32,49.52,10,정배열,15,1.82,7,0,0,0,20260520,2026-05-20 15:50:24
054800,아이디스홀딩스,32,RESERVE_BUY,32,48.31,10,정배열,15,1.77,7,0,0,0,20260520,2026-05-20 15:50:24
015590,DKME,32,RESERVE_BUY,32,43.68,10,정배열,15,1.72,7,0,0,0,20260520,2026-05-20 15:50:24
036930,주성엔지니어링,30,RESERVE_BUY,30,69.69,5,정배열,15,2.25,10,0,0,0,20260520,2026-05-20 15:50:24
014915,성문전자우,30,RESERVE_BUY,30,61.85,5,정배열,15,2.06,10,0,0,0,20260520,2026-05-20 15:50:24
005257,녹십자홀딩스2우,30,RESERVE_BUY,30,66.53,5,정배열,15,3.07,10,0,0,0,20260520,2026-05-20 15:50:24
005500,삼진제약,30,RESERVE_BUY,30,56.84,5,정배열,15,2.33,10,0,0,0,20260520,2026-05-20 15:50:24
073110,엘엠에스,30,RESERVE_BUY,30,57.78,5,정배열,15,2.13,10,0,0,0,20260520,2026-05-20 15:50:24
381620,제닉스로보틱스,30,RESERVE_BUY,30,56.67,5,정배열,15,4.35,10,0,0,0,20260520,2026-05-20 15:50:24
123860,아나패스,30,RESERVE_BUY,30,61.63,5,정배열,15,3.31,10,0,0,0,20260520,2026-05-20 15:50:24
215790,이노인스트루먼트,30,RESERVE_BUY,30,55.27,5,정배열,15,3.51,10,0,0,0,20260520,2026-05-20 15:50:24
043360,디지아이,30,RESERVE_BUY,30,58.01,5,정배열,15,2.46,10,0,0,0,20260520,2026-05-20 15:50:24
010770,평화홀딩스,30,RESERVE_BUY,30,65.74,5,정배열,15,2.13,10,0,0,0,20260520,2026-05-20 15:50:24
031510,오스템,30,RESERVE_BUY,30,65.19,5,정배열,15,2.74,10,0,0,0,20260520,2026-05-20 15:50:24
215480,토박스코리아,30,RESERVE_BUY,30,58.01,5,정배열,15,2.77,10,0,0,0,20260520,2026-05-20 15:50:24
253840,수젠텍,30,RESERVE_BUY,30,69.55,5,정배열,15,3.92,10,0,0,0,20260520,2026-05-20 15:50:24
066980,한성크린텍,30,RESERVE_BUY,30,66.47,5,정배열,15,6.66,10,0,0,0,20260520,2026-05-20 15:50:24
001820,삼화콘덴서,30,RESERVE_BUY,30,68.4,5,정배열,15,7.12,10,0,0,0,20260520,2026-05-20 15:50:24
067170,오텍,30,RESERVE_BUY,30,61.74,5,정배열,15,2.97,10,0,0,0,20260520,2026-05-20 15:50:24
205470,휴마시스,30,RESERVE_BUY,30,56.05,5,정배열,15,2.59,10,0,0,0,20260520,2026-05-20 15:50:24
950130,엑세스바이오,30,RESERVE_BUY,30,53.88,5,정배열,15,5.66,10,0,0,0,20260520,2026-05-20 15:50:24
049960,쎌바이오텍,30,RESERVE_BUY,30,68.44,5,정배열,15,3.3,10,0,0,0,20260520,2026-05-20 15:50:24
005250,녹십자홀딩스,30,RESERVE_BUY,30,63.46,5,정배열,15,5.05,10,0,0,0,20260520,2026-05-20 15:50:24
066430,아이로보틱스,30,RESERVE_BUY,30,66.35,5,정배열,15,2.29,10,0,0,0,20260520,2026-05-20 15:50:24
003550,LG,29,WATCH_ONLY,29,49.92,10,정배열,15,1.16,4,0,0,0,20260520,2026-05-20 15:50:24
136490,선진,29,WATCH_ONLY,29,44.85,10,정배열,15,1.05,4,0,0,0,20260520,2026-05-20 15:50:24
003555,LG우,29,WATCH_ONLY,29,46.83,10,정배열,15,1.18,4,0,0,0,20260520,2026-05-20 15:50:24
189300,인텔리안테크,29,WATCH_ONLY,29,43.44,10,정배열,15,1.38,4,0,0,0,20260520,2026-05-20 15:50:24
009810,플레이그램,29,WATCH_ONLY,29,26.55,15,역/혼합,4,3.63,10,0,0,0,20260520,2026-05-20 15:50:24
005385,현대차우,29,WATCH_ONLY,29,43.53,10,정배열,15,1.08,4,0,0,0,20260520,2026-05-20 15:50:24
000430,대원강업,29,WATCH_ONLY,29,45.18,10,정배열,15,1.07,4,0,0,0,20260520,2026-05-20 15:50:24
014680,한솔케미칼,29,WATCH_ONLY,29,42.68,10,정배열,15,1.18,4,0,0,0,20260520,2026-05-20 15:50:24
122310,제노레이,29,WATCH_ONLY,29,49.69,10,정배열,15,1.14,4,0,0,0,20260520,2026-05-20 15:50:24
282330,BGF리테일,29,WATCH_ONLY,29,48.71,10,정배열,15,1.06,4,0,0,0,20260520,2026-05-20 15:50:24
295310,에이치브이엠,29,WATCH_ONLY,29,49.29,10,정배열,15,1.23,4,0,0,0,20260520,2026-05-20 15:50:24
035620,바른손이앤에이,28,WATCH_ONLY,28,48.4,10,역/혼합,8,13.6,10,0,0,0,20260520,2026-05-20 15:50:24
008490,서흥,27,WATCH_ONLY,27,65.84,5,정배열,15,1.61,7,0,0,0,20260520,2026-05-20 15:50:24
031330,에스에이엠티,27,WATCH_ONLY,27,68.06,5,정배열,15,1.7,7,0,0,0,20260520,2026-05-20 15:50:24
274090,켄코아에어로스페이스,27,WATCH_ONLY,27,53.95,5,정배열,15,1.86,7,0,0,0,20260520,2026-05-20 15:50:24
